Time,traffic information,RP
20150423_17,76.50,88.70
20150423_18,75.70,87.60
20150423_19,77.10,90.00
20150423_20,77.90,91.30
20150423_21,78.20,91.30
20150423_22,78.10,91.50
20150423_23,78.30,91.50
20150424_00,78.80,92.60
20150424_01,80.00,91.90
20150424_02,80.00,92.10
20150424_03,79.60,91.70
20150424_04,78.60,90.40
20150424_05,77.20,90.70
20150424_06,76.00,88.10
20150424_07,75.10,89.80
20150424_08,75.70,90.60
20150424_09,76.40,89.70
20150424_10,76.70,89.10
20150424_11,77.20,89.80
20150424_12,77.60,90.90
20150424_13,76.70,88.10
20150424_14,76.70,88.40
20150424_15,76.70,88.60
20150424_16,76.20,87.90
20150424_17,75.70,87.40
20150424_18,74.80,85.60
20150424_19,76.30,89.40
20150424_20,77.50,90.30
20150424_21,78.30,90.40
20150424_22,78.20,90.90
20150424_23,78.60,91.40
20150425_00,78.40,91.80
20150425_01,79.80,91.70
20150425_02,80.30,90.80
20150425_03,80.10,92.10
20150425_04,79.60,91.20
20150425_05,77.70,91.30
20150425_06,76.90,91.50
20150425_07,77.10,91.30
20150425_08,76.70,88.60
20150425_09,76.50,87.60
20150425_10,76.20,87.60
20150425_11,76.30,87.90
20150425_12,76.40,88.10
20150425_13,75.90,87.80
20150425_14,75.70,87.80
20150425_15,75.90,87.00
20150425_16,75.90,86.60
20150425_17,76.00,87.00
20150425_18,76.70,89.30
20150425_19,77.90,90.10
20150425_20,78.40,91.40
20150425_21,78.40,90.90
20150425_22,78.40,91.90
20150425_23,78.70,92.00
20150426_00,78.70,92.00
20150426_01,79.60,92.30
20150426_02,80.00,91.50
20150426_03,79.70,91.80
20150426_04,79.00,91.30
20150426_05,77.80,91.20
20150426_06,76.30,91.60
20150426_07,76.60,91.90
20150426_08,76.50,91.20
20150426_09,76.80,90.70
20150426_10,76.90,89.90
20150426_11,77.40,90.90
20150426_12,76.80,90.80
20150426_13,77.30,90.20
20150426_14,76.80,89.70
20150426_15,77.20,89.60
20150426_16,77.20,89.60
20150426_17,77.10,89.70
20150426_18,77.40,90.70
20150426_19,77.70,91.80
20150426_20,78.10,91.50
20150426_21,78.20,92.20
20150426_22,78.10,91.80
20150426_23,77.50,92.80
20150427_00,77.20,91.70
20150427_01,78.30,92.00
20150427_02,78.60,92.20
20150427_03,77.80,92.30
20150427_04,77.40,91.50
20150427_05,75.90,89.20
20150427_06,75.30,83.10
20150427_07,74.30,87.80
20150427_08,75.40,89.10
20150427_09,76.30,89.90
20150427_10,76.80,90.70
20150427_11,77.30,90.60
20150427_12,77.40,90.90
20150427_13,76.50,90.10
20150427_14,77.20,89.00
20150427_15,77.10,89.30
20150427_16,76.80,88.60
